Clase,Nombre,Edad,Hermanos_esposas,Padres_hijos,Tarifa,Q,S,Sexo_male,Sobrevive
3,,32.0,0,0,7.925,0,1,1,0
3,,36.0,0,0,7.8958,0,1,1,0
3,,30.0,8,2,69.55,0,1,0,0
2,,22.0,1,1,29.0,0,1,0,1
3,,3.0,1,1,15.9,0,1,1,1
2,,25.0,0,0,13.0,0,1,1,0
1,,39.0,0,0,0.0,0,1,1,0
3,,51.0,0,0,8.05,0,1,1,0
1,,18.0,2,2,262.375,0,0,0,1
2,,23.0,0,0,13.7917,0,0,0,1
3,,18.0,0,0,7.75,0,1,1,0
3,,30.0,8,2,69.55,0,1,1,0
2,,40.0,0,0,13.0,0,1,0,1
3,,2.0,3,1,21.075,0,1,1,0
2,,54.0,1,0,26.0,0,1,1,0
1,,34.0,0,0,26.55,0,1,1,1
2,,54.0,0,0,14.0,0,1,1,0
3,,31.0,1,1,20.525,0,1,0,1
3,,25.0,0,0,7.05,0,1,1,0
2,,23.0,2,1,11.5,0,1,1,0
3,,21.0,0,0,7.75,1,0,0,0
3,,41.0,2,0,14.1083,0,1,1,0
1,,30.0,1,0,82.1708,0,0,0,1
1,,30.0,0,0,39.6,0,0,1,0
3,,19.0,0,0,0.0,0,1,1,0
2,,30.0,0,0,13.0,0,1,1,0
3,,30.0,0,0,15.5,1,0,1,0
3,,28.0,0,0,7.8542,0,1,1,0
3,,35.0,0,0,8.05,0,1,1,0
2,,54.0,1,3,23.0,0,1,0,1
3,,22.0,0,0,7.7958,0,1,1,0
3,,28.0,1,0,15.85,0,1,1,0
3,,18.0,1,0,6.4958,0,1,1,0
1,,25.0,1,0,55.4417,0,0,1,1
1,,55.0,0,0,30.5,0,1,1,0
2,,30.0,0,0,13.0,0,1,1,0
3,,28.0,0,0,22.525,0,1,1,0
3,,20.0,0,0,8.05,0,1,1,0
1,,19.0,0,2,26.2833,0,1,0,1
3,,15.0,0,0,7.225,0,0,0,1
1,,0.92,1,2,151.55,0,1,1,1
3,,24.0,0,0,7.7958,0,1,1,0
3,,28.0,0,0,9.5,0,1,1,0
3,,26.0,1,0,7.8542,0,1,1,0
1,,41.0,0,0,134.5,0,0,0,1
2,,30.0,3,0,21.0,0,1,0,1
3,,30.0,0,0,8.05,0,1,1,0
2,,48.0,1,2,65.0,0,1,0,1
1,,35.0,1,0,90.0,0,1,0,1
3,,30.0,0,0,9.5,0,1,1,1
3,,2.0,4,1,39.6875,0,1,1,0
2,,21.0,0,0,10.5,0,1,0,1
