dato,etiqueta
y el parásito carroñero del palacio de méxico dirá que es un complot político en su contra pobre imbécil le falta poco para caer en el averno aunque eso seria lo de menos lo impoante es la nación que deja ante la complacencia de la oposición,1
el cacas y su testamento político lastima que no cargo la chingada por imbecil e hijo de puta,1
te voy a bloquear imbecil,1
ya callate imbecil vete a discutir tus desvario con otra persona,1
nosotrxs mismxs smirnoff muted por hablar como imbecil,1
tener que ir a la universidad es revivir mis días de pequeño cuando antes de ir al colegio me quedaba viendo un zapato con cara de imbecil por media hora,1
entre la delatada línea de sudarme todo o seguir siendo el puto imbecil preocupado por todo,1
que imbecil el del vehículo menor,1
grandísimo imbecil todos uds son tanto o más usurpadores que el maduro,1
ahh me olvidé imbécil tu padre tu madre vos y tus hijos si tuvimos la desgracia de que te hayas reproducido inutil,1
este imbecil escribe una cosa hoy y otra mañana y los q lo siguen lo creen pero claro ni palabra de las vacaciones de santilli o bullrich,1
eres pendeho adolfo o solo naciste imbécil,1
qué buen chiste por que no creo que exista gente tan imbecil que se crea eso en verdad,1
culiao chupalo preparate para la destitucion imbecil,1
cuando no se puede ser más imbécil abel gilvonio,1
ese tipo es un imbécil de primera,1
que mentiroso en serio este adoctrinador de fecode no es más imbecil porque no es más grande,1
ya solo le faltó decir que no teman sus discípulos amaestrados y sus mascotas fieles que en su testamento dice que al tercer día resucitara y tomara su lugar una ves más en su silla presidencial a don de gobernar por lo siglos este imbécil si que se la fuma cabrón,1
que weona mas imbécil ya empezó el show,1
siempre mintiendo que enfermedad sin cura claro el rodrigazo con 182 de inflación fue liberal no quien la dejo en el poder de manera irresponsable a isabel perón imbecil,1
no lo haces quién fue el imbécil que te dijo eso,1
firme la gente es bien imbecil la gente iba a bajar locura con el pichulon y eso fomentaba el turismo que en muchos casos es el sustento de los locales,1
un montón de mentiras y sembradas no hace una verdad lópez no gano ningunalicitación abudaye también tenía un contrato desde hace años y solo se renovó ves como te agarran de imbécil aprovechándose de tu resentimiento gobierno corrupto beee usa el cerebro no es adorno,1
pedazo de imbecil por lo menos aprenda a leer dije tooooodoooos tienen que ver con el narcotráfico,1
una persona que facture 600 pavos en porcentaje paga más impuestos que leo messi 21 de iva el 15 de irpf y 282 de cuota de ss el que diseñó esto o es imbécil o no ha pegado palo al agua en su puta vida,1
borrega y vieja imbécil lárgate de aquí que nadie te llamó y sigue lamiéndole el culo a tus ladrones robolucionarios,1
lo sé imbecil,1
el imbecil,1
opino que es irrelevante a estas alturas esa sra se habrá encogido de hombros y seguirá trabajando cerrón no es más que un pobre imbecil con twitter y sin nada más que hacer ni su gente lo respeta,1
vale pero seguirás siendo imbecil,1
porque soy imbécil y tonto,1
no seas imbécil es pae de una cultura peruana solo es un puto huaco erótico en que mierda jode a alguien,1
otra ignorante que esta creyendo q hay q construir un autódromo para poder realizar un circuito callejero q es lo q quiere solicitar barranquilla dios por favor regálale un 1 de intelecto a esta imbecil,1
eh ni soy fan de ella solo que ustedes dan rabia ya que chingan y chingan con algo que pasó hace nueve años acá el que se tiene que callar es usted imbecil,1
como eres imbecil ambos caso q mencionas eran monarquías donde tenían derecho a heredar su poder méxico es una república democrática donde quien norma que pasa en caso de falta el presidente es la constitución en el a 84 otros que dejaron testamento hitler hugo chávez,1
un imbécil quién se burla de algo tan doloroso,1
ya dejen de morder el anzuelo se habla de lo que el anciano quiere que se hable un ridículo el país de cabeza y nosotros preocupados por algo que debería quizás impoarle a los de morena el resto de méxico sabemos que si se muere este imbécil se sustituye y punto,1
pedazo de imbecil si es,1
jajajajajajaja que fumas oe tuco seguro te esta proveyendo el camarada che esa es yerba es mala ellos se dedican a la coca no a la canabis jajajaja imbécil,1
don diego definitivamente es un imbecil pobre hombre vendido,1
la gente que critica a yuya es imbécil,1
tú eres imbécil chaval,1
si la imagen de fondo es de pedro albizu campos el que hizo el dibujo es un imbécil,1
sigue siendo un parón de selecciónes imbecil,1
no porque no es un imbécil como castillo y sus seguidores,1
no sabía q el caso de bruno pacheco las licitaciones q justo ganan proveedores q se reunieron con castillo y la repaija q hay en el estado eran fakes dices lo q está mal aquí es la corrupción pero defiendes a un gobierno corrupto e inepto a quién agarran de imbécil,1
vea no sé quién carajos sea usted primeramente me refiero a la salud de los niños ya que eso puede traer consigo más aumento de contagiados y simplemente doy mi opinión sobre mi perspectiva de esta situación no es culpa que usted sea un imbécil que no se cuenta de eso,1
puto imbécil,1
hasta cuando tenes imbecil,1
esta pelotuda se esfuerza para ser cada vez más pelotuda qué imbécil insufrible chupó garchas a granel pero igual la dejaron afuera de las listas y la idiota sigue,1
quiero darle tribuna es este imbécil quiero que lo conozcan y lo odien y lo aborrezcan,1
cual resistencia imbecil si los vzlanos morían de hambre mientras el gobierno gastaba millones de dólares en armas,1
ese señor con boina como lo llamas tu tiene muchísima más clase q tu imbecil,1
no mames me sorprende lo imbecil que eres,1
que weona más grande esta csm entonces si una mujer va a manejando al momento del poonazo que es y pensar que este rico de gente imbecil nos va a regir,1
imbécil llore toda la madrugada,1
la pregunta que lo mató a ver imbécil república socialista china te suena burro de mala genética ahí no existe la persona como sujeto de derecho y obligaciones en eeuu que tampoco son santos se acuño la constitución sobre la que se escribió la nuestra tá,1
el crecimientodel 95 es una mentira es simplemente un fenómeno que se veía venir por la contracción que tuvo por la pandemia hpta imbecil,1
y un grupo de ilusos creyendo que tiene chance pa correr en 2024pobres idiotas pero coño no me sorprendería que un 33 de esos mismo idiotas le votasen tal como eligieron al imbecil de,1
naruto es la peor serie de animé que alguna vez se ha escrito sí es la introducción a muchas personas a este mundo pero no cambia que sea basura ultra nacionalista y terriblemente escrita su personaje peor escrito es claramente el imbécil de itachi el mejor quizá jiraiya,1
amigasola verdad insistir en álgo que yà veíamos que no vá a sucederes estár agrandando a ése imbécil porque impoante él no lo és mejor invita a otro más machuchónpor ejemplo al mameo dirigente del pan,1
la mayoría ni lo sabe y el que lo sabe o es un imbécil redomado o un comprado en ambos casos les estallará en la cara su postura,1
es ganas de protagonismo de putin que sabe que hay un imbécil en la casa blanca,1
veis normal que una madre llame imbecil gilipollas a su hijo todos los dias por no contar que le grite,1
un año después más del 75 de la población está vacunada que no te tomen de imbécil,1
este hombre es un imbécil,1
imbécil a quien le impoa complice sucio que trata de justificar el desfalco de un dinero para los niños del campo y las zonas rurales estas condenado traquetico nisiquiera son capaces de realizar propaganda y publicidad buena mediocres,1
si se dedica a ser gilipollas y luego dice es humor no hace humor hace el imbécil,1
don diego es ud un imbecil,1
nada sorprenden de esta secta de hampones jajajajaja y el imbecil ese se llena la boca hablando de acabar la izquierda,1
más allá de lo imbécil del comentario se puede sacar una foto a una persona sin consentimiento y libremente difundirla por las redes esto podrá ser llamado acoso puede tener alguna repercusión legal,1
totalmente deacuerdo nefasta esa dupla compiten por quien es mas imbecil,1
que imbecil lo que señala esta futura ministra la comparación que hace es de lo más ridícula y con mirada y sesgo de género ambos delitos son ofensas graves a las mujeres y familias como un todo social no es que uno tenga más impoancia que otro,1
porque eres imbécil dilo sin vergüenza,1
también es que este tío es imbécil,1
niko ya se la lactaste al chotano ineptosi q te superas a ti mismo enserio nunca en mi vida vi un tremendo imbecíl como tu,1
define contestar imbécil a que a esto no le llamas contestae a paseo,1
porque la gente es imbécil no veo otra razón de verdad te lo digo telegram es objetivamente mejor aplicación y la gente no quiere usarla son imbéciles y de ese carro no me bajo,1
rajoy siempre le dio mil vueltas y eso q no lo voté en las 2as x corrupción en su paidopero siempre fue mejor presidente q este imbécil,1
jajajajajaja imbécil te adoro,0
jajajajaja dale su sol a este cojudazo para q se compre su pan con huevono ha tomado desayunocada día más imbécil de veras me asombras puedes superae a ti mismo día con día jajajajaja,1
la gente es muy estúpida imagínense poder vacunarse gratis para estar bien y pagar por un carné de vacunación por ser un imbécil anti vacunas ay dios,1
en el peronismo siempre se garchó es lo único que siempre hicieron garcharse al que produce y labura garchar entre ellos para saciar el vicio este es el resultado de tanto garche una imbécil a la que el coito mental le hace agua por todas paes,1
estúpido imbécil,1
pobre lela cada día más imbécil orate no coordina no hila no sabe ni ú ni fa,1
se va a quedar solo el imbècil todos sus chupes estan por la,1
pobre mujer se ve por su mirada y parado de este imbecil que le valió 3 km de riata lo que le estaba diciendo maldito imbecil,1
hay que tener cuajo o ser un imbécil o las dos cosas para arruinar más todavía a un país vaya pwrsonajillo,1
ayer dije que la empatía por la gente imbécil me va a matar así que ahora solo ubicar tara2,1
imbecil tu comparacióndios es santo,1
verga imbécil ve a hacer nada como siempre ladrón,1
por imbecil y jugar al gato y al raton oronto terminaras en cana,1
imbécil venido a más,1
si sos cachureco no tenes derecho a opinar sobre la situación actual del país imbecil,1
fui imbecil con ella y me merezco el castigo,1
jajaja y así te casaste jajaja imbecil,1
pues claro el imbecil cree q todavía puede negociar su silencio,1
la final queda como registro en la historia de la copa para un club de un país que nunca lo ha ganado imbécil la u tiene mejores registros en la copa no solo eaa final eso lo hace como mejor que otros clubes peruanos en este torneo lo dicen las estadísticas,1
y hacete ver imbécil asko me da,1
destruir el país es lo q está haciendo tu patrón imbécil o no te das cuenta con correa eran obras,1
enfada con eren un día más y no vengáis a por mi que está actuando como imbécil,1
no son víctimas si ya tenían antecedentes no fue el primer animalito asesinado se es imbécil cuando no piensas y solo escribes para quedar bien sin ver qué varios casos pudieron ser evitados,1
no imbecil es xq es un periodista con nula capacidad cognitiva que hace preguntas wns en base a supuestos que no existen ridículo y sesgado al punto de la mala clase y por si fuera poco apitutado en fin por que no me sorprende que los no procesen eso,1
el fascismo defiende tu propiedad el estado sería dueño de tu propiedad imbecil si te quejas te mandan a la cárcel o te fusilan estudia historia se nota que ni sabes que es fascismo,1
botaste por toledo humala y ppk imbecil,1
la de decirle que no hagan el imbécil subiendo videos a redes porque de resto,1
imbécil lo sigue siendo jeje luis tequiero,1
pero qué imbécil jaja,1
pero qué imbécil,1
lima no seas imbécil la plata ya está en el bolsillo del gobernador y sus pandillas,1
con respeto pero pareces imbecil clinicamente hablando,1
que sabrá este imbécil de geopolítica,1
ufff eres más imbécil que peor adivino se os ve venir a la legua no podéis negar vuestro origen fascista,1
el pelotudo sos vos imbecil telecreyente de mierda,1
ni sea imbecilsi fuera inteligente ya le hubiera dado la fórmula a maduro para salir de la inmunda,1
lo que está mal aquí es la corrupción la prensa basura y los burros ue la prensa manipula aprovechándose de su ignorancia y odio tu pobre borreguita expoliticos corruptos te manipulan y tu les sigues el juego despiea te agarran de imbécil cada semana con un nuevo fake,1
ese imbecil haciendo el ridículo según él está haciendo una representación no le da pena que ahora el personal de limpieza tenga que arreglar lo que ha malogrado con pinturaeste idiota debe ser denunciado por malograr las veredas claro como el que limpia no es el le llega,1
de mariks seráaquí hacen lo que se les da la ganaahora sí es así como será con los camiones que transpoan comida cuánto sería el precio que le subiría a los alimentos que transpoanla vaina se va a volver aún peor de lo que ya está y el perfecto imbécil no hace un jopo,1
el imbécil que fué testigo de una toura en vivo y en directo a través de tv y de la cual fué cómplice hoy se desgarra las vestiduras que poca madre,1
solo me burlo de lo imbecil que eres,1
es q hay q ser imbecil para pensae asi xdd,1
hasta para ser imbécil hay que estudiar,1
a punta de spoilers ya me enteré de esto de que eliot es un imbécil y de que rue se está drogando con lo que tenía que vender jajdjg,1
te comento algo el payasito de tu foto de nick vive en usa a metros del central park ah y en su último recital acá murieron dos personas y el ejército tuvo que rescatar a los espectadores ahora comé tus gorgojos tranquilo imbécil bloqueado descerebrado,1
la coma va después del imbécil pero,1
que man tan imbecil el sidenik es un equipo croata jajaja disque ucrania que imbecil le va tocar adicionar un curso de geografía al de open english jajaja,1
es un imbecil,1
gente del perú quiten del poder a este imbecil que solo llego a robar como todos los populistas socialistas de américa latina,1
que yo no quiro a ese imbécil en mi familia que no que de verdad que no teddy que respira y ya quiero estrangularlo,1
el twitter imbécil del dia es todo tuyo marcelo,1
el imbécil del año,1
imbecil detectado,1
name a person who is más imbécil que un alumno de medicina ill wait,1
me da miedo abrir twitter en el transpoe público por qué nunca falta en imbécil que lee lo que escribes o lo que te aparece y pensará que estoy enfermo,1
está cagadísimo porque hasta la falta de consciencia de este imbécil está justificada y explicada hasta esta versión de buu está mejor escrita que el grueso de los personajes del manga de dbs y eso dice lo suficiente,1
me preguntó porqué el sigue permitiendo que gente imbécil ande sin cubrebocas en los pasillos y aún más en los vagones estoy frente a dos mugres nacas que traen el cubrebocas en la papada y lo peor una de estas nacas se le ocurrió empezar a soplar,1
no es más que un viejo imbecil el peor presidente de méxico,1
recuerdo a un pro familia chipi fanático terrorista con cabeza de huevo que se paseaba en televisión hablando huevadas solo alguien así de imbécil podría hacer esto,1
pinche nate imbecil ojalá te ahogues con tu saliva y se te acabe el papel siempre que vayas al baño y nunca haya sistema siempre que vas al banco y siempre que tengas sed tu agua sepa a cebolla y que se te empiecen a marcar las entradas desde los 25,1
cínico imbécil nada hicieron por el niño,1
mas propaganda comunista y lo mas lindo es q siempre hay algun imbecil q se lo cree,1
a ver imbecil sea un poco más original con las fake newspara eso la bodega petrista te paga,1
debo tener un cael en la frente que diga imbécil sino no se explica,1
le estas pidiendo a un tonto funcional y casi analfabeto que refunde el perú estas imbécil,1
si esos muchachos que querían al perú libre de comunismo libre de violencia que les nació dar su voz hoy fuera del tonazo covid del imbecil de paolo guerrero no se sabe nada de ellos,1
más torpe imposible imbécil a uno lo eligió la gente y a la otra ese ese ha sido su trabajo desde antes y nada tiene que ver una cosa con la otra el orégano no se fuma tonto re tonto,1
otro imbécil,1
lo unico que quiero esta semana es ganarle a la caca si peter gana me rompo todo imbecil,1
no seas imbécil no vuelvas a rogar una mierda mor,1
estoy en clase imbecil,1
carrera por ver quién es más imbécil,1
y el imbecil de palacio comprando y construyendo refinerías,1
cada vez que una imbécil habla de vacunas experimentales solo demuestra su ignorancia frente al tema y que solo repite lo que escuchave,1
jajajajaja éste imbécil ya no sabe que inventar para que usen su pinche aeropueo culero,1
cuando llegué al aeropueo y dije que tenia covid una empleada imbecil dijo por eso es que se tienen que quedar en sus casas y a hablar mierda como si mi familia y yo quisiéramos tener esto este ha sido el viaje en el que menos he salido y más me había cuidado y mira,1
hasta cuando el pobre es el único imbecil q camina y hasta pelean x los ricos y en aire acondicionado en su casa en carros 4x4 relajados,1
ese imbecil realmente se siente un ayatola la ignorancia en sí máximo esplendor,1
prefiero ser un imbécil a una zumba que vive a costa de subvenciones de pancaas mientras deja morir a las que defiende porque le impoa una mierda ala vete a cagar un rato,1
o no te has visto la peli y no tienes ni idea de lo que hablas por lo tanto cállate eres imbécil o sí la has visto y no tienes ni idea de lo que hablas por lo tanto cállate eres imbécil,1
vete a mamar imbécil,1
siempre cuando pienso en que te extraño me acuerdo que sos un imbécil y se me va,1
creo que son cuentas fake he visto muchas últimamente si ves todo lo que ha escrito son demasiadas wevadas nadie puede ser tan imbecil creo yo,1
si no voy a rd este año soy un imbecil,1
el hecho de no tener ni una foto de mi mismo que no salga fatal o haciendo el imbecil hace bastante complicadas cieas cosas la verdad,1
imbécil no creo q haya hecho esa expresión en taino con un tapa rabo,1
si no es el imbécil de mi expeo ahora es un imbécil pa time,1
nahh es millonario este imbecil,1
claaaaaaro se dan para que papanatas como tú o el gilipollas de errejon se toquen los cojones vamos que apoyas la malversación de fondos imbécil,1
pero que muy imbécil,1
es una pregunta respetuosa no un argumento es que un imbécil como tú que no entiende siquiera la lectura de frases simples que confunde la pae con el todo esto entiendo que te sea más complicado de entender no sé a qué depaamento del cajón de imbéciles va,1
que imbecil y miserable más grande no más comentarios,1
es lamentable que hoy ya no exista esa esa policía donde había mujeres y hombres que amaban su trabajo y tenían el corazón en su deber de servir con orgullo a este gran país hoy tenemos un miserable imbécil sin cerebro y sin huevos traicionando a un pueblo que confío en él,1
ese tipo es un imbécil,1
que pedazo de imbécil,1
llamate a silencio imbecil k,1
tiene toda la razón es muy escaso un imbecil que sea exitoso loor a este nuevo padre de la patria,1
escribe desde su comodidad en la ciudad que la paz es mala asi o las estupido por culpa de gente como usted hay gente en este momento escuchando algún combate imbecil,1
como putas dicen que tenemos mejor posición que el tolima y que santafe está por encima de nosotros quien fue el imbécil que hizo este ranking,1
supongo que tu abuela es igual al tal fisico imbécil,1
exacto y también hay cada imbécil que le cree a keiko,1
pedazo de imbecil pues estaba buenísimo solo q se ve feo,1
mándales abrazos efectivamente y que bueno que ustedes mismos reconozcan que no hay paz ni seguridad y que el imbecil de lópez ha dado pie a la creación de un narco estado,1
jajajajajajajaja sigue este senil imbécil escribiendo tonteríascambiaste el pañal vago,1
viejo imbécil genocidas,1
es insólito que se haya puesto de modo algo tan poco atractivo como mostrase imbecil y presumir de eso,1
sí es un clamor popular esto ya no es si eres lassista o correista necesitamos un presidente mejor preparado y que piense en y quiera lo mejor para el país no solo para s 1 al que este imbecil de favorece,1
eres un imbécil,1
screenshots de eso no es prueba de compra ok otra cosa no es desacreditar a pc es que hay que ser tan imbécil e hdspm para comprar algo altamente contaminante como lo es el carbón a ustedes nunca les impoó el bienestar del país solo sus jodidos bolsillos,1
imbécil hijo de puta con el respeto a todas las putas que hacen su trabajo de forma honesta y probablemente declararían que este concha de su madre no es hijo de una de ellas,1
la gente más imbécil se mete a ser docente,1
si así fuera todos jugarían como messi no jajajaaja imbecil de mierda,1
quien le cree a esta rata de pana entiende imbécil que ya políticamente estás quemado tu y tus 3 pelagatos de seguidores son los que te hacen vivir el sueño que hace años atrás dejaste perder por no tener las bolas bien puestas pajuo,1
le dieron un puesto en el estado ya a este imbécil porqe no se preocupaba por el hermano antes de qe se tire al río sin saber nadar,1
de verdad recurren a las metáforas floridas que lo hicieran elena y marichalar sin escansalos de por medio tenía un pase pero que lo hagan estos cuando es pública la cornamenta es patético que se separen o divorcien pero no tomen a la gente por imbécil que no coló con noos,1
ni siquiera el mismo cristo escribió un testamento para garantizar la perpetuidad d sus ideas pero no es desde siempre un pinche orate mesiánico q se cree la encarnación d la salvación el muy imbécil no para nada lo es verdad obradoristas verdad q no,1
exacto es igual de imbécil que el admin de iniestazo,1
que raro después de 7 años hablas vos y clarín falta macri y la nación imbecil,1
por desgracia hay mucho imbécil suelto sin más motivación que decir gilipolleces todo mi apoyo tu labor es impagable,1
soy imbécil o no hay sonido,1
q imbecil es él viene cn un chupeton y se pica por yo ver a unos amigos y beber con ellos,1
eres imbécil,1
efectivamente la cosa es ir siempre contra y a favor de las dictaduras imbécil este tío y pensar que ha sido vice,1
oiga don pendejo si sabe que si se muere la constitución tiene establecido que hacer no necesita dejarlo en un testamento viejo imbécil,1
física mierda no es más que un imbécil que habla por hablar de más que la abuelita ni debe gustar de el por negligente y el animal culpando la ley 100,1
si no tenemos ningún descenso huevonazo anda para otro lado imbécil eres hincha de descensos lima no eres nada,1
es que hay mucho imbécil irrespetuoso espero que la caída la del pulpo,1
pues hombre imbécil si van a hacer una manifestación y llegan los tombos pues también llega la prensa,1
ayer le enfocaron al final del paido y solo llamaba lamentables a los árbitros menudo imbécil,1
votante de realmente es imbécil,1
también el abuelo era un imbécil,1
hay cada político loco y cuando se cree que no hay techo sale un imbécil antivacuna del paido conservador,1
ya se imbécil,1
coincido contigo por que realmente ese español es un imbecil una por querer minimizar el daño ecológico y otra por no contemplar un verdadero plan de contingencia para este tipo de eventos pero de ahí a verlo preso con tu presidente altamente coimiable difícil,1
pero que imbécil que sos man,1
tenés el cerebro diminuto como el pito imbecil año 2022 deja de utilizar esa palabra como insulto,1
casado es un imbécil simplón y merced a esas viudes cuenta con un gran vivero de votos,1
el mismo jugador que tienes de foto dijo que no le gustaba ganar por sensaciones y ser orgulloso vaya imbecil,1
le consta le servio de colchón vieja imbecil hpta,1
jajaja que imbecil jajaja,1
por tanto imbecil que solo sabe decir no a keiko,1
positivo para cretino e imbécil,1
tóxico enredador dónde dicen que están comprando firmas hablan de dinero para gestión del proceso no se puede ser más bruto y más imbécil,1
hay que sacarlo a ese imbécil y todos sus bandidos secretarios,1
eres periodista de un medio en tijuana neta ni por eso fuiste capaz de preguntarle al imbécil ése qué diablos está pasando en tijuana con la inseguridad y los asesinatos de tus compañeros ellos habrían pedido justicia si se tratara de ti,1
después de decir semejante tonteríacomo es posible que alguien pueda escuchar la opiniónde este imbecilcomo puede gobernar semejante mediocrecomo no sale y pide perdón por ser tan tarado y se va a su casa y se jubilano les reconozco ninguna autoridad de ningún tipo,1
ptm que imbecil jajaja,1
y otro imbécil que cree que el centro existe despiee sopenco,1
la historia dice que los zurdos entre más bajo llegue su líder más lo idolatran idealizan y transforman en deidad ejemplos allende penca con mayúscula el che contrario a todo lo que el zurderío progre defiende castro dictador sanguinario maduro ídem imbécil narco etc,1
circular nazi lo dice un imbecil que cita a hitler hagame el hpta favor,1
y eso que dice ser abogado el imbecil,1
en este caso no se puede justificar ni al guardia ni al vecino ambos actuaron como imbéciles y ser imbécil tarde o temprano trae consecuencias nefastas lo cieo es que esto nos refleja como la sociedad que somos,1
que decías del estado de salud del presidente pendejo jajajaja jajajaja jajaja jajaja jajaja sigues quedando como lo que eres un perfecto imbécil,1
soy un imbecil,1
ta todo imbécil el vato jajajaja,1
a mi me faltará un veranito tú eres imbécil de nacimiento espera y ya me contarás bye bye,1
nicolás lucar eres imbécil o te haces el imbécil como victimizas a tu aliado pedro burrillo terrones eres una vergüenza para el verdadero periodismo como para el perú me das asco como persona y periodista eres un rojo uno más de ellos,1
mi mamá piensa que le robe plata pero creo que fue su novio pq sabe que yo siempre estoy despieo y que ella va a pensar q fui yo pq es un hijo de puta asqueroso de mierda y tonto e imbecil y pelotudo y un tarado como lo odio tanto lo odio lo odio hijo de puta lo od,1
sos tan tarado que crees que todos cobran plan seguí copiando imbecil,1
q voy a evadir pedazo de imbécil su título pitero,1
qué pedazo de imbécil pura feca,1
y loa pendejos estos no sacan las pociones de cura para que la gente no pueda usarla y vender sus lobos porque ya saben que esto ya se hundió como el titanic hasta el pvu duro y dio más dinero que esto pd quién fue el genio que puso una ballena se pasó de imbécil,1
sabes que también en el privado las cgan la diferencia es que pierden el trabajo y la credibilidad si lo hacen esta mas preocupado por las sanciones d ela unión europea que por la bicoca que le cobra el perú país de imbécil gobernado por el imbécil supremo pueblo,1
nuevo fichaje para el instituto de ciencia de la comunidad de madrid se puede juntar al imbécil de revilla que dice que él cree que en cantabria hay más incidencia porque el virus le lleva para allá el viento del noreste,1
y eso que tiene ver no sea atorrante entonces sin con el nombre de su madre esteban echavarria botero le colocan a un frente de la guerrilla eso es ser guerrillero no sea imbécil,1
como paletos no de paletos osea creer que esa vestimenta es propia de los pueblos es de ser imbécil eso quiero decir,1
está muy drogada la imbécil,1
aquí la única llorica eres tú haciéndole q a mi novia imbécil,1
ya hace mucho que ser monárquico es igual a ser masoca yo imbécil,1
marico y que me dices de globivision vtv ete ete tu eres miope o imbecil,1
el propio imbecil,1
vos sabés por qué mujica se fijaba en los callos de las manos supongo que conocés el cuento de león tolstoi iván el imbécil la pregunta a vos te dejarían sentae en la mesa a comer o te darían las sobras,1
si imbecil siy si quieres también te digo los miles de empresas que han cambiado su domicilio y se han ido de cataluña y si quieres también ameba te digo las que han quebrado y desaparecido directamente,1
de verdad imbécil perdido,1
pobre imbécil,1
ese imbécil ni a mediocre llega,1
otro imbécil mas,1
si piensas que una señal de afecto es socavar el respeto y autoridad eres un completo imbécil déjame decie no deberías de tener hijos nunca,1
a mi me parece exagerado lo imbecil que eres,1
mi eterna candidata que te hace pensar que soy fujimorista tarado crees que tengo el cerebro en el rabo como tu de apoyar cualquier imbécil humilde profesor ese tipo vivía del estado sin trabajar por eso no puede sacar ningún alumno porque simplemente no tiene 12,1
deje de tomar a la gente por imbécil que los que incumplen los acuerdos sois vosotros,1
palabras que insitan a la violencia weonlos narcotraficantes matan personas indefensas y eso no es violencia deja de justificar al delincuenteellos no son víctimas son delincuenteste pagan por no hacer nada nefasto imbecil eso erescero apoe al pais,1
lo vengo diciendo desde 2016 el pueblo es imbécil y no tiene remedio porque no quiere aprender la cultura es sentida como basura zanahoria plaza italia matías del río peaky blinders merecen todo lo k pasa idiotas,1
ah pero el gobierno gasta cientos de millones en vacunas para forrar a bill gates y a los curradores locales como jodal y el pueblo imbécil le cree a los políticos nos tienen viviendo como la mierda y encima a crédito,1
increíble como el de camisa negra y blanca lo duerme de una patada afana un celular del piso y después los separa un verdadero cabeza de termo imbécil,1
borracho imbécil,1
estaba literalmente mirando eso porque levi el sábado tomó de todo el muy imbécil hajdjsvdhs,1
lo vuelvo a repetir cuando leo que schalper es tt me pregunto que weá dijo este imbécil de mierda,1
otro imbécil de derechas válgame la redundancia que no entiende la ironía que a ver no me extraña no sois de derechas por casualidad pero joder no os cansáis de hacer el ridículo en ningún momento,1
rue está siendo imbécil últimamente la quiero muchísimo pero literalmente q coj0nes tía do better,1
tanto vergazo en tu cabeza te dejo imbécil,1
esa es otra de tus tantas mamad lee la constitución si falta el presidente hay procedimientos a seguir no tus caprichitos vaya pedazo de imbecil saliste más cabron que bonito,1
pues si no te gusta te lees el manga y te callas la boca de imbecil que tienes que no te enteras de nada pesado,1
madre mia hay veces que es mejor no decir nada a abrir la boca y demostrar que eres imbécil,1
le faltó decir si hay dignidad yo soy un imbécil que vaya a comer ñoña el traidor,1
ossandon haciéndole un delicioso mañanero a boricel payaso en accion lo llevan para dejarlo como el imbecil que es,1
mira pedazo de subnormal aquí los únicos ignorantes sois los que se inventan una lengua haciendo el ridículo te enseño la cara cuando quieras esta pedazo de imbécil ha insultado primero y no vayas de machito protector que eres otro fracasado leonesista,1
pero tú qué clase de imbécil eres,1
todos incluido el imbecil del amlo,1
imbécil has escrito mal imbécil,1
todos sabemos que jordi alba es imbecil y que no esta a su nivel pero dime a pae de araujo gavi y pedri quien esta a un buen nivel porque enfocarnos en jordi alba el problema co te he dicho es comunicacion y sobretdo organizacion en el campo sumale ganas de ganar y mas,1
el que diga que sí es un completo imbécil no impoa la posición o pae del cuerpo,1
