dato,etiqueta
un dulce beso en los labios_x000d_ _x000d_ fufu es bonito regalo oberon feliz san valentín realmente te aprecio mucho,1
por siempre te aprecio yuta,1
taba bueno_x000d_ te aprecio mapora pero esta es la ultima pregunta que te respondere xd,1
todas pero mi bias es leeseo_x000d_ _x000d_ jihyo no encuentro las palabras para decie cuanto te aprecio 트와이스 지효 지효 트와이스 _x000d_,1
gracias hermano te aprecio mucho,1
lose te aprecio por esoo,1
te amo tqm te aprecio te adoro,1
hola fer 4 meses casi lo 5 aun no me cobra perl ya tengo para el 5 mes quuero que sepas aun que no puedo ir por lo miosimpre te seguire apollando y eso por que eres mi mejor amiga y te aprecio tu eres mi inpiracion y te quiero sori por tanta cu,1
hola luna te aprecio,1
no te rías_x000d_ pero si yo te aprecio un poco taira,1
amigo te enamoras todos los días te aprecio y te respeto,1
amigo roldán comunista como te aprecio no revelaré tu secreto a nadie _x000d_ _x000d_ _ tranquilo que nunca le diré a nadie que te e visto en costco sams y walma_x000d_ _x000d_ _ ni diré que visitas con frecuencia a the home depot gt la catedral d,1
ᅠᅠᅠ_x000d_ ᅠᅠ_x000d_ ᅠ_x000d_ eve jamás te voy a traicionar te aprecio y no perderé tu amistad por una tontería _x000d_ _x000d_ seguro lo es para que una chica tan guapa se fije en el cuéntame más_x000d_ _x000d_ ᅠ_x000d_ _x000d_ ㅤᅠ ㅤㅤㅤㅤㅤㅤㅤㅤㅤ,1
cuidado gato feo alguien podría llegar a pensar que te pone limitar los derechos de las mujeres y recordarl,0
hey la verdad es que te aprecio y te diré la vdd yo quería intentar no se poder llegar a sentir los mismo que tú realmente eso queria,1
vaaan voy a llorar gracias de vdd ya estoy bien y tmb me ayudan aún más tus palabras te aprecio mucho lt33,1
nos conocemos hace poquito pero te aprecio muchísimo sos un solcito lt3,1
te extrañaré aunque no seas mi amiga te aprecio y valoro mucho el trabajo que compaes cada domingo al parecer alguna verdad incomodó a alguien_x000d_ un abrazo desde,1
usted es nu brepo blodia athp doripalma_x000d_ ahí dice que te aprecio,1
hola si yo también te aprecio,1
que pasada el nuevo ep de lo he puesto en repetir el mejor ep de la vida _x000d_ _x000d_ felicidades carmen te aprecio,1
pero que hermosa eres liss te aprecio mucho y me alegra vee aquí nuevamente eres la mejor lindaaaaa,1
yo te aprecio mucho señor daniel pero solo verdurita es muy duro,1
si es gravísimo pero más grave es la horda de deforestados que no pueden tener opinión propia y van atrás de la abeja reina como ganado enceguecido yo te aprecio por tu foaleza en la docencia pero tengo q decie tristemente,1
el peor miedo de alguien desconfiado creo q es estar conociendo a alguien y q te claven un te amo para por favor q yo todavía estoy deduciendo si te aprecio,0
yp jamás haría algo así sara yo te aprecio algunas veces,1
pues yo te aprecio,1
mi vida feliz cumpleaños te deseo lo mejor cielito gracias por siempre estar en tan poco tiempo te conveiste en una persona muy especial para mí te aprecio muchísimo el vminkook y yo te amamos muchísimo nos haces muy feliz,1
feliz cumpleaños cielito te aprecio demasiado pásala lindo quédate conmigo por mucho el vminkook y yo te amamos,1
gracias mi cobra te aprecio,1
feliz cumpleaños cielo pásalo muy bonito el día de hoy no olvides que todo bangtan te ama están muy orgullosos de ti y el esfuerzo que pones día a día te aprecio muchísimo te me haces una persona magnifica y muy buena cumple todas tus m,1
hoy una amiga me dijo d ir a caminar conservando 3 m de d,0
buenas tardes querida y apreciada amiga diana felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo de todo corazón bendiciones infinitas para ti en está bonita profesión,1
una vez dije_x000d_ _te amo_x000d_ y me respondieron_x000d_ _yo también te aprecio,1
te aprecio tanto que incluso estoy feliz de saber que seguramente habrás tenido muchas dudas es tu elección y te respeto tanto me alegro por ti siempre diste todo algo me dice que tarderemos a vee en una de primera y me sobrecoje,1
con atención ー_x000d_ _x000d_ tras la entrega de los regalos carraspeó sacó la caa rosada y comenzó a leer_x000d_ _x000d_ ー eres la luz más bella que ilumina mis noches más oscuras agradezco enormemente haberme topado contigo en mi solitaria vida quiero decie que te quiero y te aprecio y_x000d_ _x000d_,1
twitter sabe lo mucho que te aprecio,1
panto te aprecio pero tu gusto para las fuentes es paupérrimo ya hay que ser sinvergüenza para tener el móvil con letra disney,1
buenas tardes querida y apreciada amiga melissa felicitandote en tu día del periodista depoivo eres muy hermosa y muy sabía por eso te aprecio mucho deseo bendiciones infinitas para ti en esta bonita profesión,1
de verdad que yo te aprecio mucho pero es que eres la 3,1
xime vos siempre tenés las palabras correctas para calmarme te aprecio mucho,1
que no me gusta que jueguen conmigo alice y a veces me haces sentir así_x000d_ _x000d_ sabes que te respeto y te aprecio pero no es una situación graciosa para mí,1
hola ronaldo soy rosalba te aprecio mi papa,1
feliz cumple rubius tqm espero sigas creciendo cada vez mas mucha suee en tus futuros proyectos te aprecio mucho gracias por todo pásatela bonito rey,1
es que si marcos yo te aprecio hermano pero como vas a preguntar esa estupidez jsjsjs,1
en vdd quiero algo contigo algo bomnito mutuo duradero y está demás decir q te aprecio aunq no t conozco del tdolt3_x000d_ eres tan increíble magnífica inteligente bomnita auténtica reservada con una linda sonrisa y unos ojitos marrones k la vdd tdo eso m tiene encantadalt33,1
te quiero tanto sabes eres genial te aprecio más q a mis irls q veo mas seguido tu eres muy impoante,1
hola biyis espero estés teniendo un lindo día este es mi primer bits y gracias a stef que me hizo el favor de mandáelo eres una persona increíble no sabes lo mucho que te aprecio por cieo me podrías mandar un corazón coreano espero no,1
que lindo es cada día vee crecer mas y maslt3_x000d_ se que hace poco te conozco pero te aprecio un montón a vos y a tu comunidad vamos por esos 7700 y por que no a esos 10k mereces eso y mucho más lt3,1
tsssssrompecorazones siempre estaré agradecido de haber encontrado una extraordinaria amiga gracias mil por estar siempre presente paty adorada qué rolototota te a,1
racing estuvo 39 años sin ganar en el bosque y cuando se coronó campeón en 1961 estrenó título en nuestra cancha y mejor no te recuerdo como terminó el match pq te aprecio carlitos,1
en resumo que se te aprecio moito non penso comer nada,1
buenas tardes querida y apreciada laura felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo de todo corazón bendiciones infinitas para ti en esta bonita labor _xd83d_,1
te aprecio ann en verdad que sí,1
claro fundiendo todo así cualquiera abrazo te aprecio,1
normalicen no contestar por no tener ganas te aprecio y me caes bien pero no tengo ganas ni para levantarme,1
muchas gracias ramón te aprecio lo sabes,1
yo también me quiero mucho aunque a ti también te aprecio,1
ajsjajaja se ve q te tomaste enserio lo último k dije pero bueno tranqui todo bien a mi y a han no nos molesta te tenemos un pokito te aprecio todo bien lt3,1
que si te aprecio ven que te doy un abrazo,1
gracias lunita bella te aprecio muchísimooo me alegra bastante que estés bien espero pronto estés mejooor todo sea para que sigas protegida sigue cuidándote y descansando,1
también te aprecio pero no me considero ingenuo ni te considero ingenuo a vos ni a nadie_x000d_ mientras sea con respeto y civilizado podemos disentir_x000d_ igual no soy nieto ni bisnieto de don álvaro solo vi el video y es un preludio de todo lo qué pas,1
te aprecio no me odio tanto la esquizofrenia está fuee hermana,1
yo también te aprecio,1
yo te aprecio siempre,1
te aprecio mucho gracias por todo lt3,1
te invito a entrenar conmigo viniendo de mi es una manera de decir te quiero me impoas eres especial te aprecio la verdad es que no a cualquiera se lo digo,1
noo amigoo pasa que a vos no te aprecio a vos te quiero herrmano trapecio,1
querida y apreciada salome felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo bendiciones infinitas para ti en esta bonita labor bendecido miércoles http,1
oye te aprecio mucho como mutual pero ya hemos tenido esta conversación tenemos otro hilo de respuestas abieo,1
genna yo te aprecio mucho pero eso no te lo voy a permitir,1
la luz de nuestros ojos la reina natsukiana nuestro motivo de sonrisas y alegrías sel en pocas palabras es la mejor persona del universo te aprecio mucho_x000d_,1
te aprecio mucho,1
en verdad no yo te aprecio,1
noooooote apreciome pareces una buena persona,1
gracias hermoso amigo tu también cuídate mucho te aprecio mucho,1
sos un gil danilo pero te aprecio,1
no te conozco pero te aprecio,1
te aprecio hermanooo,1
gracias marce te aprecio brother,1
que te aprecioeso te digo,1
sos mi mejor amigo te quiero mucho y te aprecio jamas salgas de mi vida,1
gracias caro te aprecio mucho,1
feliz cumpleaños mi kath de verdad gracias por llegar a mi vida te quiero mucho gracias por siempre etiquetarme en cosas de yoon te aprecio como no tienes idea por favor nunca me dejes recuerda siempre que el taekook y bangtan te ama mucho,1
te apoyo y te quiero rocio carrasco cada vez que te veo llorando y veo tus ojos confirmo lo mucho que te aprecio te considero un familiar más aquí siempre tendrás a tu marea fucsia apoyándote y todo ese amor que no te an dado nosotros nos encargaremos de dáelo,1
fabi deseo lo mejor para y por consecuencia tu familia sabes que te aprecio mucho y admiro a pesar de no conocee físicamente pero cuando vengas a méxico me gustaría ser invitado a tu gran fiesta que te brinden saludos desde michoacán,1
te aprecio mi pero no no normalicemos la cultura del acoso y machismo _x000d_ _x000d_ hiciste lo correcto ojalá todas las mujeres expongan a todas las autoridades que asuman esta postura de acoso llamemos las cosas como son,1
kriss perdóname si te moleste con el dm perdóname igual por tanta lloradera a los dream y wayv yo te aprecio mucho como cuenta 127zen eres una de las cuentas que al ser only de 127 guarda respeto a los demás gracias kriss,1
de nada apreciado eres,1
lo entiendo y lo respeto pero de verdad me preocupas _x000d_ _x000d_ le sigue el ritmo andando y mientras le escucha maldecir se preocupa más_x000d_ _x000d_ vale que no sea la primera vez pero no tienes porqué pasarlo sola déjame cuidae te prometo que no haré nada,1
buenas tardes querida y apreciada daniela felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo de todo corazón bendiciones infinitas para ti en esta bonita labo,1
félixno te conozco lo suficiente para decir que soy fan tuya pero te aprecio y te admiro mucho y se que para tus fans es muy triste está noticia pero se que vas a estar bien espero que te recuperes pronto y seas muy feliz_x000d_,1
te aprecio y no preciso apresae a mi ego_x000d_ aunque sienta muchisimo amor,1
jimin eres lo más lindo del mundo gracias por esas palabras y por tomae el tiempo de responder con mensajes positivos eres una de las causas de mi alegria de verdad te aprecio y quiero mucho gracias por todo lt3,1
hola te aprecio saludos,1
pues no lo eres para nada y tu problema es válido como cualquier otro nadie debe de invalidar como te sientes ni lo que padeces te aprecio muchísimo y me puedes hablar cuando quieras,1
y yo que te aprecio tanto,1
es broma yo te aprecio,1
pero si yo te aprecio,1
buenas tardes querida y apreciada valentina felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo de todo corazón bendiciones infinitas para ti en esta bonita la,1
por eso ahora te aprecio más,1
muchas gracias fran te aprecio,1
ahora te aprecio mas,1
te aprecio mi distinguido compañero peeneciente a la comunidad trans y al littlespace procedente de orígenes hermafroditas,1
muchas gracias mi vida hermosa te aprecio un montón de vdd ered d las personas más lindas del tuiter 33 te mando una rebanada de pastel hasta tu casa,1
te toco el trapecio porq te aprecio,1
muy feliz cumpleaños a una persona que considero como un hermano pásatelo muy bien y cumple todos tus deseos tkm y gracias por todo el cariño y apoyo te aprecio demasiado,1
te quiero mucho me caes muy bien te aprecio te amo te adoro,1
como respuesta te dejo mi opinión yo también te aprecio pero ahora un poquito menos _x000d_ _x000d_,1
no porfavor no me hagas decepcionae otra bez amigo te aprecio demasiado pero basta,1
cuando vino a mi estado y los boletos súper baratos si fui bb yo te aprecio desde el principio dame 4 boletos pls lt3,1
buenas tardes querida y apreciada amiga jessica felicitandote en tu día del periodista depoivo eres muy hermosa y sabía por eso te aprecio mucho deseo de todo corazón bendiciones infinitas para ti en esta bonita,1
te aprecio un monton bebe y me alegra bastante,1
kim te aprecio pero ya no más,1
para las amistades apreciadas_x000d_ cali 9 febrero 2022_x000d_ _x000d_ amiga amigo te aprecio y te envío un abrazo fraterno,1
aunque no te conteste mucho que sepas que te aprecio _x000d_ lcia,1
gracias ginno te aprecio,1
te aprecio con el corazón,1
feliz cumpleaños hiddles no sabes lo mucho que te amo y te aprecio gracias por todo,1
jajaja te aprecio primon,1
calla trozo de mierda que yo te aprecio mucho,1
montes te aprecio mucho por tu congruencia talento y tu amor y respeto a los colores la declaración que diste hoy fue aceada y precisa_x000d_ _x000d_ pero algo que debe de entender la institución a todos los niveles es que este es el peor resul,1
danirep diciendo que los tendones estan sobre valorados xdxdxd dani te aprecio pero qué crees que une tus musculos de tus huesos,1
muchas gracias tinny yo también te aprecio mucho linda,1
buenas tardes toniya me di cuentapor eso te aprecio,1
pero es que yo te aprecio,1
muy feliz feliz vuelta al sol que cumplas muchísimos años más pásala muy muy lindo te aprecio mucho sé muy muy feliz hoy y siempre corazón tus favs están muy orgullosos de ti feliz cumpleaños mi vida,1
desde que llegaste a mi vida la has mejorado infinitamente por eso realmente no puedo agradecee lo suficiente te adoro absolutamenteme hiciste una mejor persona mientras estabas en mi vida te aprecio todos los días y durante todos los días gracias tkm,1
a vos solo te aprecio,1
feliz cumpleaños tamlt3 hoy es un día muy especial para ti y para todo tw porq todos te queremos espero que hayas iniciado el día de la mejor manera sabes que tkm y te aprecio demasiado cuentas conmigo para lo que sea muchos abrazos viuales para ti,1
monito sabes que te aprecio,1
yo también te aprecio mucho salita de 5_x000d_ recordá que un insulto no es un argumento_x000d_ y cuando insultás tirás un boomerang que te destroza sólo a vos,1
me encanta tus tweets y te aprecio un montón me enseñaste el mundo de los manhwas y te lo agradezco muchísimo,1
mi reina preciosa te amo y te aprecio mucho ojalá disfrutes mucho y compaas bonitos momentos hoy en tu día especial como siempre sonríe y se felizlt3_x000d_ _x000d_ its seulgi day _x000d_ _x000d_ 똑똑_슬기생일인가요_네맞습니닿_x000d_ _x000d_ 슬기 레드벨벳,1
si te contesto enseguida los mensajes es porque te aprecio muuucho valoren eso porque no é pa cualquiela,1
aww belen gracias te aprecio y te quiero demasiado gracias gracias por todo tqmm,1
feliz cumpleaños a la reina de mi corazón gracias por siempre inspirarme te amo mucho y te aprecio que siempre seas feliz _x000d_ _x000d_ 수영아 생일 축하해_x000d_ happy bihday sooyoung_x000d_ _x000d_ 수영이는_소원_인생의_수토리야_x000d_ _x000d_,1
pero así te aprecio,1
kennie precioso lo mismo digo me parece que el problema fui yo estuve algo desaparecido este último tiempo pero siempre es un placer vee en mi tl e interactuar que tengas un hermoso día sabes que te aprecio mucho,1
lía yo te aprecio y no siento que seas no una villana ni mucho menos algo menos preciada,1
si yo te aprecio vida mía si es que ese perra es de cariño cabrón lt3,1
recueeda que yo te aprecio mucho y tq,1
gracias galán te aprecio,1
eres una persona fantástica has estado en mis peores momentos y lo aprecio muchísimo al igual que te aprecio a ti tú me has demostrado ser sincera hacerme ver realidades que no veía y te estaré eternamente agradecido,1
a mí no me lo pareces para nada aunque yo tmb pienso eso de mí al fin y al cabo es algo que tenemos interiorizado y por más que los demás insistan hacemos más caso a lo que creemos nosotros mismos pero inténtalo tener un poquito presente,0
te amo tanto que ni paro de pensar en ti cada momento cada segundo cada minuto qué pasa aquí tú estás siempre presente te amo y no sabes lo mucho que te aprecio quiero vee abrazae y besae en fin te amo muchísimo mi vida,1
no sabes lo que te aprecio y lo poco que lo digo sin coñas,1
pero yo te quiero hablar te quiero molestar con mi spam para que me pongas atención te quiero hacer caitas donde te diga lo mucho que te aprecio quiero jugar contigo y reír el único problema es que tú ya no lo quieres,1
te aprecio ya te veo en una semana con randomlife haciendo bugs del fornite confia en mi,1
mereces eso y mucho más lauuuuu te aprecio mucho,1
te aprecio el gesto hermano,1
si yo te aprecio mucho y tu labor y entrega aquí _x000d_ _x000d_ pero los putos chats son la madre de todas las peleas y malentendidos por eso los evito al máximo con los amigos y prefiero mil veces una llamada,1
hola aunque no estoy en tu lista te aprecio y respeto_x000d_ un gran abrazo amiga imaginaria,1
buenos días guapo tanto tiempo sin saludarnos deseo todo vaya bien contigo te aprecio mucho gracias de corazón por los buenos deseos que tengas un maravilloso miercoles,1
si supieras las cosas que hago por vos sabrías lo mucho que te aprecio,1
eso mismo digo yo con lo que yo te aprecio,1
sabes que te aprecio y mucho jeje,1
veo soho ahí y quiero romper cosas tranquila mi ninia yo sí te aprecio,1
te digo muy pocas veces lo mucho que te aprecio pero cuando te pones a hacer de detective un miércoles random de febrero para sonsacar información de x twitero ahí se hace inevitable eres top3 fácil,1
hola linda amiga estoy recuperandome de corazon eres muy linda por siempre estar pendiente te aprecio un monton,1
gracias_x000d_ orlando yo también te aprecio,1
me encanta que me mire y siga derecho sin siquiera saludarme yo también te aprecio,1
forma pae de mis obligaciones como bibliotecario difundir la obra de los autores locales de guadalajara _x000d_ la obra lo mecere_x000d_ y además aunque aún me pregunto por qué te aprecio _x000d_ un abrazo,1
vecino que estás silbando fiesta pagana muy animadamente a las 11 de la mañana te aprecio mucho,1
boleta cómo te digo que a mi eso me da igual _x000d_ boleta que a mi lo que digan los demás me viene afectando 0_x000d_ boleta te aprecio sigue a tus trolleos diarios y déjame a mi disfrutar de lo que a mi me de la gana,1
no tienes que asustae que eres de mis vips y yo te aprecio muuuncho,1
te amo te lloro te sufro te adoro te todo te quiero te aprecio te agradezco_x000d_ es tan bonito,1
entre el blanco y el negro existe una extensa variedad de colores no estar de acuerdo no es malo es más el intercambio de opiniones si se hace con respeto puede ser enriquecedor yo también te aprecio neo,1
maría te aprecio,1
gracias recuerdamebot te aprecio mucho,1
feliz cumpleaños al amor de mi vida y mi motivo de mis sonrisas jungwon_x000d_ de verdad no sabes lo mucho que te amo y te aprecio eres mi razón para seguir aquí _x000d_ _x000d_ our february love jungwon_x000d_ _x000d_ _x000d_ 정원이가_꽃피운_열아홉번째_가든_x000d_ 정원,1
y es estúpido de pronto se me comenzaron a salir las lágrimas porque es feo que otra persona sea lo que esa persona es para ti pero así son las cosas hasta en las palabras se nota cuando es un te quiero mucho o un simple te aprecio te tengo mucho cariño,1
aiñ muchas gracias lucecita de mi existir te aprecio de aquí hasta las estrellas,1
feliz cumpleaños te amo y te aprecio mucho me haces muy feliz lt3 caita que hice a jonh _x000d_ _x000d_ _x000d_ 생일이라_서_행복하쟈니,1
gracias a ti por siempre estar aquí no sabes cuanto te aprecio,1
hola shion también te aprecio,1
te aprecio aunque seas del real madrid pa sin ti yo no estaría aquí la rivalidad se queda en la cancha,1
a pesar de no hablar tanto eres esa paecita de mi que nunca se irá espero te amo demasiado tienes esa chispita que me hace feliz es que no encuentro palabra yo sentimientos para describir cuánto te aprecio tienes una pae de mi corazoncito cuídala bien _x000d_ _x000d_,1
solo quiero decie que jamás pagaras renta por vivir en mi kokoio eres un precioso ser humano y agradezco que estés en mi vida sabes lo mucho que te aprecio y de todo corazón espero que tus deseos sueños y anhelos se cumplan porque te lo mereces chiquistrikis nn,1
mi chiquita preciosa me alegra habee conocido y poder celebrar este día contigo _x000d_ me siento agradecido ante el hecho de que llegarás a mi vida eres tan increíble y te aprecio mucho eres alguien muy genial y estoy orgullosa de todo lo que,1
yo te aprecio demasiado,1
que yo no es por dae la mañana que te aprecio mucho pero monilla tiene 5 años y es como tener una adolescente en casa todo le parece mal nunca está contenta vive enfadada con el mundo y sigue llorando por todo si pides plaza en el i,1
nunca me canso de decie lo mucho que te aprecio te aprecio por todo jungwon no sé cómo sacarlo y expresarlo aquí pero me ayudas siempre,1
yo también te aprecio lía qué peculiar saludo,1
yo si que te aprecio,1
siempre para adelante amigo te aprecio,1
heyitzrecuerdas el día en que cuando me veías iluminaba tus noches y días cuando me elegiste como bias me sentí tan afounado de tener a alguien como tú apoyándome en todo te amo mucho y te aprecio demasiado recuerda que siempre estaré ahíte deseo un feliz cumple,1
gyo yo te voy a joder pero sabes que te aprecio jakajakj,1
mentira de nuevo fer te aprecio no te vayas de twitter justo cuando entro es cunado casi no hay gente y tú estás haciendo tweets,1
aaaah de verdad eres un solecito que dedicación la tuya de darnos una frase y preguntar por tus mutis eres muy agradable te aprecio mucho mucho espero tu día haya terminado bien,1
oye que bueno saberlo ahora te aprecio más,1
este mes una persona muy especial cumple 10 años haciendo vídeos para youtube y nuestra misión es hacer que llegue a 2 millones le pone mucho esfuerzo a su trabajo y cuenta historias bien chidas_x000d_ te aprecio bastante,1
jamás lo dudaré preciosa sé que constantemente me deseas cosas lindas queres lo mejor para mí gracias por ser tan amable conmigo te aprecio un montón yo también deseo que estes haciendo cosas que te hagan feliz o que estes con gente agradable co,1
felicidades mi cielo que dios te bendiga no hay palabras para expresar lo mucho que te aprecio feliz cumpleaños que cumplas muchos_x000d_ más _x000d_ _x000d_ my fave video,1
te aprecio ciudadano promedio,1
feliz cumpleaños mi querido jungwon es el primer cumpleaños tuyo que presencio estoy demasiado orgullosa de ti te aprecio y te agradezco por todo felices 18 te amo mucho y ten un hermoso díalt3_x000d_ _x000d_ _x000d_ 정원이가_꽃피운_열아홉번째_가든,1
muchas gracias ti por esas maravillosas 7 horas te aprecio demasiado,1
te acompañó a la lloradita me alegra saber que yo también te hago sentir bien es genial yo te aprecio mucho bonita que bueno que tu semana este siendo tranquila,1
