dato,etiqueta
tan solo he tardado todo el puto día en pillarloay me cagon todo que dolor,1.0
patada de cagón,1.0
cagón sorry pero la vendida de anoche fue real y nada de que haya sido algo que le sacara brenda dijo lo que quería decir,1.0
que desastre amigo eso de pegarle 5v1 es de cagón y las pibas que se ríen están re mal del coco,1.0
engañar también es pae del juego deja de llorar niñato el único cagón aquí es ollie que como una rata no salto ninguna,1.0
claro que lo grité que me crees cagón para no gritar goles q no son de aliancistas,1.0
si hace unos años era mucho de eso era mucho mas cagón que ahora pero igual hoy en día no tengo ninguna amistad personalmente con ninguna mujer ni una relacion mas estrecha no se si es por que lo provoco u yo que se,1.0
viejo cagón ni sabe donde está parado almirante de desagüe,1.0
que cagón saliste albarn hubiera sido uno de los gallagher el que diga eso se mantienen hasta la muee con su idea igual si le doy el crédito a que de seguro le quitaron el contexto sea lo que sea oasis siempre por sobre blur siempre,1.0
en el senado mameo cagón vaya pues q quiero ver eso hablador de mierda por las redes,1.0
cuellar cagon ctm mucho blablabla y 0 eficiencia,1.0
yo en la final veía a xokas y a raptor desde los cristales pero cuando el cagon ese no quiso saltar ya sabía que lo iban a matar,1.0
llave lea instruyase para q no comenté estupideces si petro llega a ser presidente no puede meterse en nada en el senado aprenda mameo cagón o ya está dando indicios q ese hijueputa guerrillo será un dictador como se,1.0
además sos cagón,1.0
vamos el viernes cagon jaja,1.0
obvio blondie es trending por defenderse de un machito cagon te amamos taylor,1.0
te fuiste a la b por puto y cagon rier,1.0
opino q tengo q vender un órgano para poder donarle 100k a rap x xocas cagon,1.0
díylo tú a la cara cagón o nun te atreves tampoco yes igual de facha y de puxarra queḷḷos a ti ye al que hai que decite tolos díis algo que yes un cagón un chantaxista y un traidor que xugaste con el sentim,1.0
ahora dígalo llorando mameo cagón jajajajajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja jajajaja le arde ese asterisco o que,1.0
ese aliento es de cagon el que no hace 10 es guampudo,1.0
bolso vos sos un cagon nunca tuvistes aguante los pibes están en cana porque vos sos vigilante,1.0
pegar en el piso es de cagón siempre,1.0
esta justicia que ni mujica cree sabe por que porque sabe que están mal juzgados pero este si es cagón y cierra la boca,1.0
no hay cosa más de cagón q pegarle a un pibe cuando está en el piso,1.0
eso es d cagon,1.0
decí mi nombre cagón,1.0
me mata el cagon de camisa que le pega la patada pq después se arrepiente y coe los aleja a los demás jajajajaja,1.0
raptor cagón,1.0
es que miradlo y tened los santos cojones de llamarlo cagón otra vez,1.0
alto cagón,1.0
apae de mala leche resultaste flor de cagon el karma ya te va a pasar factura hdp,1.0
que rabia me dio oda eres un cagón,1.0
cagón damon ah,1.0
nunca odie tanto a un personaje como odio a nate es todo lo que odio en esta vida nate sos un forro un cagón y un reverendo pelotudo,1.0
y lo peor que esos tiene cara de llamae cagón al dino,1.0
pero que cagon,1.0
el cagón de bernal no era el abanderado de eso,1.0
jaaaaaaaaa cagón,1.0
sólo son 100 pesos esq no te podías esperar hasta mañana cagón,1.0
cagon sos vos pelotudo de mierda con los pibes no hizo goles todo el año pasado tiene una sequía hay que bancarlo pelotudo,1.0
cómo va a contar mueos incómodos ahora que le va tan bien colgado de la bragueta del cagón del palacio,1.0
hasta donde se un chabon que cerro su cuenta x cagon sacó capturas de trolos promiscuos en ma y bueno nada de repente se volvieron moralistas peeeero bien bien nosé,1.0
me bloqueó el bities cagón,1.0
legalidad en los juegos del calamar exigís jajajaja se pasó con los insultos a mi parecer si un estratega bárbaro aliarse con un grosso como luzu contra 1 pibito que no lo conocía ni la madre si se la aguantaba no hubiera hecho alianza con,1.0
ya es de cagon pegarle a alguien cuando está en el piso pero tirarle una patada a la cabeza que mierda te pasa hermano,1.0
pero ahora venís a discúlpae hacete cargo de lo que decís cagon,1.0
los hombres somos de madera no nos damos cuenta de nada y si para colmo sos medio cagon que agrandas mucho las consecuencias de tirae a la pileta haces un mundo y cuanto mas tiempo dejas pasar peor,1.0
puto y cagon since 1994,1.0
no hables de cuao que ahí estuviste con los del tas pobre y triste cagon bidescendido amp arrodillado sí diminuto irse a segunda jugando todo en lima,1.0
que ganas de ser cagón,1.0
vamo a peliar cagón vemos quien resuelve integrales más rápido y después te rompo la cabeza salame,1.0
es como tener un arma y otro no pero igualmente le metas dos tiros porque no hay otra arma un re contra cagon porque encima su amigo lo carrea pero eran delincuentes esos en un pais normal quedarian 20 a,1.0
amigo no hay necesidad alguna de hacer eso el q le pego una patada le deseo lo peor por cagon,1.0
acaba de pasar una abeja al lado de mi oreja fui a prender la luz como el buen cagón que soy,1.0
cagón habilita los comentarios ese mensaje nunca llegó a ser enviado y por el color de fondo del mismo indica que lo escribiste vos a los hijos de remil puta como vos hay que mol3rl0s a pal0s viejo pelotudo,1.0
corriste damon ofrecele un dueto cagon,1.0
alguien porfavor pase la screen de lo que puso el cagon porque borró el tuit,1.0
sos cagón ya saliste de la muni,1.0
no era mejor no decir nada en lugar de quedar como un cagon,1.0
mira el cagón como borra los tweets hahahaha,1.0
puto y cagón como dijeron los gallagher,1.0
el famoso cagon hijo de puta,1.0
qué vas a hacerlo vos si sos un cagón,1.0
se cree la elegida por el viejo cagón,1.0
eres un perro cagon y llorón,1.0
por algo es el kks es cagón cobarde y le gusta cagar a otros nunca es su culpa,1.0
mirá si será coo que le respondí amablemente y me insultó y me bloqueo además de plotudo cagón,1.0
dale cagón es una gripe,1.0
si es un cagón,1.0
comparar mujeres en el ámbito del ae basándote en acusaciones falsas es sumamente misogino e inecesario ya pidió disculpas porque es un cagon que la próxima mínimo se lea los créditos de las canciones,1.0
el de camisa blanca y negra ves esa patada de cagon y te genera unas ganas de matarlo por ordinario,1.0
keroro cagón,1.0
era el número 1 no le tocaba saltar si le hubiese tocado y no lo hubiera hecho se le podría decir cagón pero nunca le tocó así que no sabremos,1.0
julito es un cagón como se va a ir,1.0
ay bueno no peleen arreglen las cosas acá en el quilmes rock vení taylor si damon no te invita por cagon te invito yo estas invitada,1.0
estaba en el piso agarrado por el otro y le metió una patada en la cabeza el máximo nivel de cagon existente no hay cárcel posible solo una bala,1.0
si no hay nada más de inglés culo roto además de quedarse pelado y gordo es no hacerse cargo de nada y echarle la culpa a otro cagón de mierda,1.0
kajsjajs q cagon,1.0
cagón cómo todo buen ingles,1.0
por mi raza hablara el espiritu nuestra rectoria pintada por diego rivera y siqueiros esquinkle provinciano cagon muchos años de grandeza separan nuestras universidades unam 120 años uanl 30 o 40 enanitos jiiji,1.0
cagon pollerudo y falso hincha que se vaya a la concha de su madre,1.0
estas diciendo abieamente q fue cagón x miedo a lo q pasará y vos t pensas q con un tibio así podes armar algo mirá si le vuelve q agarrar miedo nuevamente q hacemos damelo a espet basta d,1.0
es d cagon favear la historia,1.0
que dijo lo borro el cagón,1.0
me han dejado de seguir varias personas sepan que voy a seguir twiteando del perguetano vende patria cagón cornetero del imperialismo yanqui farsante alias no es la forma boriceso saludos patria revolucionaria socialista,1.0
ajahsjsjs que pedazo de cagón,1.0
pasa nombre cagon,1.0
siempre la misma respuesta de cagón si ustedes hubieran jugado alguna lo sacarían en la cara fracasados,1.0
el cagon de damon me arruino el tuit ven pq solo confio en noel,1.0
es un cagon el de la patada,1.0
cerra el oo xokas perdiste pelotudo hubieras visto la serie taradito pelado puto cagon boludo pq le dan todos atencion si no gano aaaaa pelado nft,1.0
que cagon que hay que ser para que vengan a pegar de a 9 amigo que bronca,1.0
nada me molesta más que anden de bocones tirandole mierda al pibe sin saber una poronga tratandolo de cagón cuando el se la jugó más que los otros que despreciables son,1.0
te dije que pongas lugar y hora así me conoces y te digo mí nombre después de dejae comiendo sopa pero sos cagón,1.0
entonces que amenazas cagón,1.0
ese lo q hace es meter miedo este tipo es cobarde y todo cagon habla mucho con el,1.0
que ganas de poner un cerrá el hoo cagón pero después me acusan de hate jeje,1.0
ya se fue el infeliz ctm de galani chuncho cagon nefasto y cobarde,1.0
yo de las comoras obvio camerún cagón,1.0
aaaah te hiciste pichi encima cagon,1.0
lo llevo diciendo muuuucho tiempo repito razón por ser un cagón y no sacar el máximo potencial del equipo y te recuerdo que tuvo pie y medio fuera del club esta temporada,1.0
no existe algo más de cagon que pegarle a alguien que ya está en el piso en grupo y encima una patada esta gente no aprende mas,1.0
aaaaa cagón,1.0
mi mamá no crió a ningún cagón,1.0
me da miedo quitar el modo emotes es muy bueno para tirar mierda pero para ver las consecuencias es re cagón q risa,1.0
4 veces se la jugó igualmente es un pecho frio tendria que haberle echo duelo al xokas en vez de escapar un cagon,1.0
este se pasó de cagón,1.0
los fachos quieren saber el nombre del otro para delatarlos cagón ni foto tuya tenés facho de mierda,1.0
yo hateo a quien yo quiera pa algo soy yo no tu si tu adoras a un cagón traidor allá tu,1.0
q se le puede decir a un cagon descendido que tiene como idolo a un alcholico no existen,1.0
el cura willy es tan cagón que se guardó a césar jiménez con 3 días de descanso había que lanzarlo al ruedo y ahí si que sea lo que dios quiera,1.0
chupalo cagon ctm,1.0
qué cagon bueno igual gracias te puedo seguir queriendo,1.0
se puso candado qn es más cagon damon o ella,1.0
murió por puto y cagon gg ollie,1.0
mira si tiene los comentarios desactivados el pto cagon hijo de perra cagon que sos un cagonnnn,1.0
es un cagon jajaa a la justicia para defender el honor que claramente no tiene vuelvo a preguntae en qué avión voló a formosa a l supuesta presentación del libro conteste pistone espe siempre te va a saltar el puss por bolud,1.0
dónde estás baja cagon vamos a tomar un vodka,1.0
para agarrarlo contra el paredón cagon de mierda,1.0
dame al más cagón que tengas no no tanto,1.0
el par de inutiles berni y kiciloff y sumale a espinoza que manda 4 mil efectivos al entierro del quiosquero x cagon que le teme al ciudadano comun que esta hao pero 24 hs mas tarde vuelve a,1.0
es que el cagon ya tendría que haber mueo hace dos juegos pero gg,1.0
jajaja que dices cagon,1.0
que te de clases de como no ser cagon y jugar,1.0
como vas a organizar para caerle de a 3 a uno solo dios un re cagon sorete,1.0
aaa que cagon terminaste siendo,1.0
jaaaaaa cagon y ni ganó,1.0
la patada de cagón que pega no tiene ni un tipo de sentido ese tipo hay que darle bala,1.0
cerra el culo cagón,1.0
xokas cagon culiao jajajajaj,1.0
por cagón,1.0
mas te vale cagon,1.0
muy opouno juezcagon,1.0
jajajajajaja jajajajajajaja jajajajajaja todas estas kks son un chiste que te queda pues cagon bidescendido,1.0
como si me vuelve si gano si juego se gana y se pierde acá te dejo una que por cagon gane poco mucha nba el fútbol es muy impredecible,1.0
que prendido esta lo del juego del calamar demasiado hype y que cagon de risa que es el xokas dios mio merecido ese 1000000 de viewers hasta el admin cagado de risa,1.0
morite de hambre cagón tu mamá está viendo streamers compitiendo por plata,1.0
cagón de mierda,1.0
ay miralo se ofendio el insulta y bloquea el cagon peroncho este bien pitocoo que ni se la banca a la realidad que paso no te bancas que te devuelvan el insulto cagon que bloquea capaz vos no lo ves pero el,1.0
estaba viendo el de juan hasta que murió y no estoy de acuerdo al final cuando estaban todos ahí en mitad de la prueba saltaba a quien le tocaba por número si es un cagón y no hace su trabajo saltar cuando le toca normal que le odien por im,1.0
mión ya sabe que eres un cagón diosdado cabello amenaza con pedir la lista a el cne de los que firme para activar el revocatorio video de,1.0
xokas eres un cagon tenias que saltar tu hiciste trampa blablabla also xokas se alia con los otros dos por ir a por raptor y matarlo por la cara,1.0
no tardando sale de la basura el cagon diciendo que hay semaforo en tutifruti y de por si no irá,1.0
cagón de mkerda,1.0
sopoe cagón que me tocó,1.0
alguien le puede dar 1 sol de gracia a este payaso brother en serio me das tanta pena creyendo que eres el más cagón de todos que ya ni ganas dan de contestae anda pelea con tu viej bye,1.0
y tu cagon no puedes sacar a los vagos de la toma y críticas al general te cagarias entero con los narco terroristas porque no vas tú a dialogar cagón,1.0
xocas cagon no saltaste ninguna,1.0
una pae de mi no quiere que gane ollie por cagón y la otra que no gane xocas por abuson es que raptor merecía ganar loco,1.0
al que piensa diferente lo censuran y desprestigian sos un cagon,1.0
lo dijo clarito sos un cagon,1.0
aaaaaa mira como arrugaste cagon te tembló el culo,1.0
aquí si gana el x solo demuestra lo cagón que es,1.0
deci q es mas cagon y no se va a mover de al lado de la puea,1.0
al menos tene las pelotas para decirme que no te queres juntar conmigo pedazo de cagon,1.0
le dicen cagon y van a la primera entre los tres a por el que irónico,1.0
yo no he dicho que sea un cagón pero lit los que saltó fueron por keroro y como los últimos no brillaban no saltóen fin que buen rol,1.0
tremendo cagon el q lo patea en el suelo,1.0
quiere justificar su expulsión cuando le echamos por subnormal ahora además de subnormal cagón que te vaya bonito payaso,1.0
re cagón jajxjsjfkskdkakdkxk,1.0
se lo merecía por cagon,1.0
deq es un héroe sin el nadie hubiera pasado rap se pasó 3 solo con deducción y aún así no es suficiente para el xocas es que se tenía que pasar los 13 el solo y luzu es un cagón junto con xoquitas y ollie vayanse bien a la mierda,1.0
el che guevara solo fusilaba gente atada xq era topu y cagon buen mueo esta,1.0
hay que ser muy cagón para hacer 3v1,1.0
raptor es un cagón le tocaba saltar y se quedó esperando y murió un chaval que no le tocaba saltar por su culpa,1.0
así le dices llamar cagon cuando fueron 3 por el así que cállate una vez,1.0
no es traidor pero si es cagon por aceptar el 3 v 1,1.0
ah como se te fruncio el oo el menos cagon,1.0
damon la concha de tu vieja deja de escondee atrás de un dibujo y da la cara cagón,1.0
ojalá el agradezco ponga una categoría de cagon del año para que se lo gane ese,1.0
cagón no saltaste ningún cristal y te enojas no te olvides que te salvaron el culo en la prueba del teléfono,1.0
pero si raptor adelanto y todo porque no querian saltarluego les comio la menteun puto dios raptor y no cagon,0.0
sos el tipo con mas huevos de todos los streamers es un cagón,1.0
mira como insulta el pussy de xokas a raptor cuando el putito no hacia nada en un 1 v 1 un cagon tu idolo el xakos,1.0
me parece muy de cagón no hacerse cargo de cosas que vos generaste,1.0
ninguno merece el premio uno por cagón y el otro por insopoable,1.0
q para la próxima se agarre los huevos y sostenga lo q dice cagon,1.0
el menos cagon,1.0
jejeje tremendo perro es y le festejan solo por cambiar de vereda menos mal no vino es un cagón y pecho frío chau plumita hacete las tetas marica,1.0
esque dios le decían cagon y fueron ellos a la vez contra uno cuando estaban ahi por el,1.0
equipo cagón su turba floja no existe,1.0
cagon el q no pudo hacerse solo el 1vs1,1.0
xocas te ganaste el título de tremendo cagón y tóxico de mierda felicidades amigo,1.0
lo hizo porque es un cagón jajajaja,1.0
el menos cagón,1.0
ay dios siempre tiene que haber un cagón quejándose de todo si no te gusta lárgate de twitter y ya,1.0
le dicen que jugó sucio y que es un cagón pero ahí los ves a los tres haciendo team como unos maricones,1.0
las cosas se solucionan hablando nunca por celular siempre de frente con la verdad siendo sincero siempre no hay q ser tan cagon no pierdan a personas q los ven como lo mejor lo más lindo q tienen no saben lo feo que es no tener más esa persona no sean culiados y cuiden,1.0
si gana el cagón me voy a matar,1.0
cagon jajaja,1.0
xokas cagon de mierda,1.0
y le decían cagon a rap y salieron peor xd,1.0
demostrado queda q eres un cagon alaa seguir subiendo fotos d otros siendo anonimo xq repito q eres un cagonnn,1.0
che pero no serás muy cagón,1.0
cagon de mierdaaaaaaa,1.0
xokas se ganó el título de tremendo cagón de mierda,1.0
que cagon hay que ser para ir todos a por uno solo en fin raptor no habra ganado pero demostro que es mucho mas inteligente que el resto,1.0
xocas sos un cagon no olvido ni perdonoooo,1.0
irónico que le dijeran cagón a rap y se junten los 3 para ir a por uno,1.0
reafirmamos lo cagon,1.0
no podés ser tan cagón xokas,1.0
estoy rabiando el raptor no se giro es un cagon,1.0
ferreti siendo ya cagón en la primera decisión xd,1.0
pegue un grito q cagon,1.0
quien es el cagon,1.0
si es cieo q los medios distorsionan lo q dicen pero tampoco t hagas el cagon,1.0
un cagón el tipejo ese jajajajaa q raro,1.0
hombre tenia q ser apae cagon,1.0
porque lo mata el cagon,1.0
mira q hay q ser cagon para hacerle focus a alguien,1.0
vamoooos mierda a tu casa raptor cagon,1.0
era re cagon ahora no te arrepientas pelotudo,1.0
raptor cagon pega wacho date la vuelta pegateeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,1.0
jajajajajaja cagate luzu cagón,1.0
y defender al narco de espe es muyyyy difícil más cuando se caga y recula pelado cagon menos mal que milei se separó y lo bien que hace,1.0
es de cagon aliarse para cagar a piñas a uno q esta solo en la calle se dice cagón manga de cagones,1.0
muchos hablan de que sin el nadie hubiera llegado si es verdad pero full cagón si es tu turno y es enumerado seguís vos cómo saltó 1 o saltó todos en la serie no había empatía y creo que es lo que este juego se inspiró,1.0
hacete cargo cagon,1.0
el que te trae comiendo verga todos los días puto amargo cagon,1.0
seguía en los cristales porque el cagón de raptor no quiso saltar teniendo tiempo no me jodas xd,1.0
ahhhhhcagón,1.0
pero el tipo no es capaz de nacionalizar el cobre gabriel boric es un cagón de tomo y lomo perdón por mi castellano,1.0
más te vale cagon,1.0
ah cagón xd,1.0
arrugaste cagon,1.0
mas te vale hijo de re mil puta cagón,1.0
cagon es decirle a los otros 2 matemos a uno 3 v 1 y más cagon es no poder matarlo allí quedo tu ídolo el manquito del xokas,1.0
re cagon el man,1.0
kishimoto por qué no hiciste canon el narusasu baja cagón no te voy a hacer nada,1.0
ahora resultaaaa cagon de mierda,1.0
el xokas puede ser tan cagón,1.0
xocas cagón,1.0
y veni cagon,1.0
uniéndose para matar al único que tuvo los huevos de arriesgarse eso sí es ser un cagón,1.0
que hijos de la gran puta gracias a él están ahí y se atreven a llamarlo cagón,1.0
si ya lo tienen en el piso amigo nunca falta el cagon pateando al que ya esta tirado,1.0
xokas es tan cagon que no va a buscarlo solo,1.0
y el pendejazo de vino a estafarnos con el mueo de alex castro y ceppelini como odio a ese cagón,1.0
estan contra raptor por ser un cagon fin,1.0
javier sabe por eso se separó de espe y rósales me pregunto donde estará jimenita espe te cagaste y reculaste no minimizó nada pelado y encima cagon viajando en aviones y camionetas narcos y la,1.0
que cagon el xocas luzu y olie,1.0
xokas estaba de cagon xdno queria ni saltar,1.0
datos te vamos a dar cuando traigamos a lo selso para dejarlo en el banquillo comiendo pipasanda cagón,1.0
hacete cargo cagón,1.0
vi tu tweet de mierda no lo elimines cagon,1.0
gente jajajajajaja de verdad sin raptor no hubieran pasado xokas iba de últimas viendo como todos murieron nunca se arriesgó como raptor nada más que decir no le pueden decir cagón cuando fue el que se la jugó más que los demás,1.0
responde puto cagón,1.0
que no pactaron nada y tendrían que revisar ya que el calvo entra fuera de tiempo cagon y tramposo,1.0
